cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
BRCA	cis	1	rs1000083	chr5:96533469	ERAP2	chr5:96211644-96255398:+	-0.28	-4.05	5.6E-5	Cisplatin-induced ototoxicity	
BRCA	cis	1	rs10096455	chr8:96041250	C8orf38	chr8:95908040-96088396:+	-0.18	-4.46	9.09E-6	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
BRCA	cis	1	rs10097215	chr8:2506899	CLN8	chr8:1711870-1734735:+	0.24	4.18	3.14E-5	Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)	
BRCA	cis	1	rs10098197	chr8:96042890	C8orf38	chr8:95908040-96088396:+	-0.18	-4.47	8.83E-6	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
BRCA	cis	1	rs10098453	chr8:96029756	C8orf38	chr8:95908040-96088396:+	0.14	3.38	0.000741	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
BRCA	cis	1	rs1010117	chr20:23608421	CST1	chr20:23728191-23731574:-	0.21	4.55	6.04E-6	Chronic kidney disease	
BRCA	cis	1	rs10106491	chr8:96038959	C8orf38	chr8:95908040-96088396:+	-0.18	-4.39	1.26E-5	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
BRCA	cis	1	rs10110267	chr8:92073814	LRRC69	chr8:92114847-92231464:+	-0.17	-4.29	1.98E-5	Migraine - clinic-based	
BRCA	cis	1	rs1011054	chr4:120202387	MAD2L1	chr4:120980579-120988013:-	0.08	3.51	0.000475	Corneal astigmatism	
BRCA	cis	1	rs10110591	chr8:8576608	CLDN23	chr8:8559666-8561616:+	0.16	4.09	4.72E-5	Obesity-related traits	
BRCA	cis	1	rs10110591	chr8:8576608	ERI1	chr8:8860314-8890849:+	0.17	4.38	1.3E-5	Obesity-related traits	
BRCA	cis	1	rs10110591	chr8:8576608	PPP1R3B	chr8:8993774-9009084:-	0.16	4.23	2.49E-5	Obesity-related traits	
BRCA	cis	1	rs10110591	chr8:8576608	TNKS	chr8:9413445-9639855:+	0.13	3.89	0.000105	Obesity-related traits	
BRCA	cis	1	rs10112230	chr8:96038072	C8orf38	chr8:95908040-96088396:+	-0.18	-4.39	1.26E-5	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
BRCA	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.36	-10.03	1.12E-22	Rheumatoid arthritis	
BRCA	cis	1	rs10117059	chr9:123653477	TRAF1	chr9:123664672-123691479:-	0.1	4.75	2.36E-6	Rheumatoid arthritis	
BRCA	cis	1	rs1012376	chr14:65294790	CHURC1	chr14:65381140-65411309:+	0.27	4.48	8.09E-6	Daytime sleep phenotypes	
BRCA	cis	1	rs1012603	chr2:55274531	CCDC88A	chr2:55514978-55647057:-	-0.16	-3.46	0.000563	Refractive astigmatism	
BRCA	cis	1	rs10127539	chr1:110620117	ALX3	chr1:110602998-110613322:-	-0.14	-4.17	3.36E-5	Blood metabolite levels	
BRCA	cis	1	rs10136948	chr14:75511075	EIF2B2	chr14:75469612-75476292:+	0.19	5.35	1.07E-7	Height	
BRCA	cis	1	rs10136948	chr14:75511075	MLH3	chr14:75480467-75518235:-	0.21	6.44	1.76E-10	Height	
BRCA	cis	1	rs10139204	chr14:24382905	AP1G2	chr14:24028777-24037279:-	-0.19	-3.82	0.000139	Bipolar disorder	
BRCA	cis	1	rs10139204	chr14:24382905	CMA1	chr14:24974712-24977471:-	-0.16	-3.41	0.000673	Bipolar disorder	
BRCA	cis	1	rs10139204	chr14:24382905	NGDN	chr14:23938898-23947401:+	-0.21	-3.47	0.000534	Bipolar disorder	
BRCA	cis	1	rs10139204	chr14:24382905	RABGGTA	chr14:24734746-24740803:-	-0.19	-3.64	0.000286	Bipolar disorder	
BRCA	cis	1	rs10139288	chr14:52506486	NID2	chr14:52471521-52535946:-	0.08	3.56	0.000384	Waist-to-hip ratio adjusted for body mass index	
BRCA	cis	1	rs1014244	chr10:118466150	C10orf82	chr10:118423208-118429775:-	-0.13	-3.76	0.000181	Age at smoking initiation in chronic obstructive pulmonary disease	
BRCA	cis	1	rs1014246	chr10:118466042	C10orf82	chr10:118423208-118429775:-	-0.13	-3.76	0.000181	Age at smoking initiation in chronic obstructive pulmonary disease	
BRCA	cis	1	rs1014897	chr20:895457	PSMF1	chr20:1093906-1148424:+	-0.14	-3.46	0.000567	Posterior cortical atrophy and Alzheimer's disease	
BRCA	cis	1	rs10149651	chr14:104394440	TDRD9	chr14:104394817-104519002:+	-0.41	-10.56	7.07E-25	Bipolar disorder	
BRCA	cis	1	rs10149880	chr14:75633008	EIF2B2	chr14:75469612-75476292:+	-0.2	-5.56	3.45E-8	Height	
BRCA	cis	1	rs10149880	chr14:75633008	MLH3	chr14:75480467-75518235:-	-0.22	-6.95	6.54E-12	Height	
BRCA	cis	1	rs10153800	chr2:242179134	FARP2	chr2:242295711-242434255:+	0.14	3.59	0.000342	Chronic lymphocytic leukemia	
BRCA	cis	1	rs10155014	chr3:49432321	AMT	chr3:49454212-49460012:-	0.14	4.97	7.82E-7	Menarche (age at onset)	
BRCA	cis	1	rs10155014	chr3:49432321	CCDC36	chr3:49235861-49295537:+	0.1	3.86	0.000122	Menarche (age at onset)	
BRCA	cis	1	rs10155014	chr3:49432321	NCKIPSD	chr3:48711280-48723334:-	0.17	4.28	2.02E-5	Menarche (age at onset)	
BRCA	cis	1	rs10155014	chr3:49432321	P4HTM	chr3:49027341-49044579:+	0.1	4.12	4.11E-5	Menarche (age at onset)	
BRCA	cis	1	rs10155014	chr3:49432321	WDR6	chr3:49044637-49053386:+	-0.14	-4.34	1.56E-5	Menarche (age at onset)	
BRCA	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.82	-27.84	1.19E-128	Homocysteine levels	
BRCA	cis	1	rs10157597	chr1:45990278	MMACHC	chr1:45965856-45976737:+	-0.15	-4.33	1.66E-5	Homocysteine levels	
BRCA	cis	1	rs10160456	chr11:27336704	LGR4	chr11:27387510-27494334:-	0.15	4.22	2.66E-5	Bone mineral density (paediatric, skull)	
BRCA	cis	1	rs10160687	chr11:27337183	LGR4	chr11:27387510-27494334:-	0.15	4.22	2.66E-5	Bone mineral density (paediatric, skull)	
BRCA	cis	1	rs10160868	chr12:62795433	FAM19A2	chr12:62102043-62653925:-	0.17	3.75	0.000185	Pyoderma gangrenosum in inflammatory bowel disease	
BRCA	cis	1	rs10160955	chr12:62793195	FAM19A2	chr12:62102043-62653925:-	0.17	3.66	0.000266	Pyoderma gangrenosum in inflammatory bowel disease	
BRCA	cis	1	rs10163148	chr15:31212684	MTMR15	chr15:31196055-31235307:+	0.14	3.53	0.000438	Hypertriglyceridemia	
BRCA	cis	1	rs10164319	chr19:18569833	LRRC25	chr19:18501955-18508421:-	-0.15	-7.18	1.27E-12	Breast cancer	
BRCA	cis	1	rs10164323	chr19:18569492	LRRC25	chr19:18501955-18508421:-	-0.14	-6.91	8.06E-12	Breast cancer	
BRCA	cis	1	rs10165098	chr2:27796526	KRTCAP3	chr2:27665263-27667163:+	-0.13	-4.03	6.02E-5	Oral cavity cancer	
BRCA	cis	1	rs10165485	chr2:54481636	C2orf73	chr2:54558071-54588714:+	0.18	4.59	5.05E-6	Telomere length	
BRCA	cis	1	rs10165527	chr2:43782868	LOC100129726	chr2:43454350-43455994:+	0.12	3.55	0.0004	Glomerular filtration rate (creatinine)	
BRCA	cis	1	rs10165561	chr2:234172915	SAG	chr2:234216309-234255701:+	0.13	4.04	5.75E-5	Crohn's disease	
BRCA	cis	1	rs10166544	chr2:160140799	WDSUB1	chr2:160092305-160143236:-	0.31	3.7	0.000226	Sudden cardiac arrest	
BRCA	cis	1	rs10170846	chr2:223517705	FARSB	chr2:223436162-223520827:-	-0.16	-4.67	3.4E-6	Schizophrenia (inflammation and infection response interaction)	
BRCA	cis	1	rs1017280	chr4:55011123	FIP1L1	chr4:54243820-54326102:+	-0.19	-4.25	2.29E-5	Lupus nephritis in systemic lupus erythematosus	
BRCA	cis	1	rs1017302	chr12:9367402	LOC642846	chr12:9436253-9466684:+	0.14	4.78	2.0E-6	Non-alcoholic fatty liver disease histology (AST)	
BRCA	cis	1	rs10173181	chr2:17780733	GEN1	chr2:17935162-17966632:+	0.14	3.39	0.000735	Psychosis and Alzheimer's disease	
BRCA	cis	1	rs1017697	chr2:219170462	GPBAR1	chr2:219125738-219128582:+	-0.27	-4.97	7.88E-7	Smooth-surface caries	
BRCA	cis	1	rs1017698	chr2:219170525	TMBIM1	chr2:219138917-219157280:-	-0.15	-4.56	5.73E-6	Crohn's disease;Ulcerative colitis;Inflammatory bowel disease	
BRCA	cis	1	rs10177970	chr2:37512968	CEBPZ	chr2:37428778-37458740:-	0.17	5.43	6.87E-8	Chronic lymphocytic leukemia	
BRCA	cis	1	rs10178975	chr2:37514564	CEBPZ	chr2:37428778-37458740:-	-0.17	-5.31	1.33E-7	Chronic lymphocytic leukemia	
BRCA	cis	1	rs10178982	chr2:202227640	ALS2CR12	chr2:202153148-202222101:-	-0.2	-5.3	1.39E-7	Basal cell carcinoma	
BRCA	cis	1	rs10178982	chr2:202227640	PPIL3	chr2:201735680-201753999:-	-0.15	-4.08	4.87E-5	Basal cell carcinoma	
BRCA	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.55	17.78	3.7E-62	Response to antipsychotic treatment	
BRCA	cis	1	rs10183486	chr2:171990971	MAP1D	chr2:172864804-172945586:+	-0.15	-3.87	0.000114	Menopause (age at onset)	
BRCA	cis	1	rs10183486	chr2:171990971	TLK1	chr2:171847333-172087824:-	-0.15	-4.73	2.53E-6	Menopause (age at onset)	
BRCA	cis	1	rs10187192	chr2:73713500	ALMS1P	chr2:73872046-73912692:+	0.22	5.37	9.75E-8	Metabolite levels	
BRCA	cis	1	rs1018741	chr21:34686345	IFNAR1	chr21:34696734-34732126:+	0.13	3.4	0.000692	Narcolepsy	
BRCA	cis	1	rs1018742	chr21:34686381	IFNAR1	chr21:34696734-34732126:+	0.13	3.4	0.000692	Narcolepsy	
BRCA	cis	1	rs10187501	chr2:165532454	SLC38A11	chr2:165754812-165812035:-	0.17	5.02	6.14E-7	circulating leptin levels;circulating leptin levels adjusted for BMI;Body fat percentage	
BRCA	cis	1	rs10189996	chr2:240908800	NDUFA10	chr2:240900158-240964798:-	0.27	6.86	1.13E-11	Odorant perception (isobutyraldehyde)	
BRCA	cis	1	rs10190219	chr2:73658331	ALMS1P	chr2:73872046-73912692:+	0.28	7.04	3.32E-12	Metabolite levels	
BRCA	cis	1	rs1019217	chr11:22842622	GAS2	chr11:22688160-22834546:+	0.11	3.4	0.000708	Dialysis-related mortality	
BRCA	cis	1	rs1019217	chr11:22842622	SVIP	chr11:22843600-22851382:-	0.24	6.72	3.04E-11	Dialysis-related mortality	
BRCA	cis	1	rs10193373	chr2:281886	SH3YL1	chr2:218138-264810:-	-0.69	-20.4	2.44E-78	Spherical equivalent (joint main effects and education interaction)	
BRCA	cis	1	rs10193383	chr2:219157692	GPBAR1	chr2:219125738-219128582:+	-0.11	-3.72	0.000208	Crohn's disease;Ulcerative colitis;Inflammatory bowel disease	
BRCA	cis	1	rs10193383	chr2:219157692	TMBIM1	chr2:219138917-219157280:-	0.13	3.93	9.11E-5	Crohn's disease;Ulcerative colitis;Inflammatory bowel disease	
BRCA	cis	1	rs10193610	chr2:240940618	NDUFA10	chr2:240900158-240964798:-	0.28	7.35	3.85E-13	Odorant perception (isobutyraldehyde)	
BRCA	cis	1	rs10194090	chr2:160110579	WDSUB1	chr2:160092305-160143236:-	0.33	4.08	4.81E-5	Sudden cardiac arrest	
BRCA	cis	1	rs10196279	chr2:160116291	WDSUB1	chr2:160092305-160143236:-	0.3	3.71	0.000215	Sudden cardiac arrest	
BRCA	cis	1	rs10199101	chr2:160081949	WDSUB1	chr2:160092305-160143236:-	0.27	3.4	0.00069	Sudden cardiac arrest	
BRCA	cis	1	rs10205364	chr2:27794233	KRTCAP3	chr2:27665263-27667163:+	-0.13	-3.96	8.05E-5	Oral cavity cancer	
BRCA	cis	1	rs10205487	chr2:70151471	ANXA4	chr2:69969127-70053594:+	0.13	3.9	0.000102	Carotid plaque burden (smoking interaction)	
BRCA	cis	1	rs10206064	chr2:219157959	GPBAR1	chr2:219125738-219128582:+	-0.11	-3.72	0.000208	Crohn's disease;Ulcerative colitis;Inflammatory bowel disease	
BRCA	cis	1	rs10206064	chr2:219157959	TMBIM1	chr2:219138917-219157280:-	0.13	3.93	9.11E-5	Crohn's disease;Ulcerative colitis;Inflammatory bowel disease	
BRCA	cis	1	rs10206231	chr2:202229225	ALS2CR12	chr2:202153148-202222101:-	-0.2	-5.17	2.76E-7	Basal cell carcinoma	
BRCA	cis	1	rs10206231	chr2:202229225	PPIL3	chr2:201735680-201753999:-	-0.15	-4.09	4.59E-5	Basal cell carcinoma	
BRCA	cis	1	rs10206993	chr2:240900919	NDUFA10	chr2:240900158-240964798:-	0.25	6.75	2.48E-11	Odorant perception (isobutyraldehyde)	
BRCA	cis	1	rs10208155	chr2:61115039	AHSA2	chr2:61404553-61414058:+	-0.12	-4.93	9.69E-7	Inflammatory skin disease	
BRCA	cis	1	rs10208155	chr2:61115039	C2orf74	chr2:61372243-61391964:+	0.28	6.05	1.95E-9	Inflammatory skin disease	
BRCA	cis	1	rs10208728	chr2:219917303	GLB1L	chr2:220101505-220110131:-	-0.2	-3.66	0.000269	Height	
BRCA	cis	1	rs10209620	chr2:61173941	AHSA2	chr2:61404553-61414058:+	-0.11	-4.58	5.18E-6	Inflammatory skin disease	
BRCA	cis	1	rs10209620	chr2:61173941	C2orf74	chr2:61372243-61391964:+	0.27	5.89	5.23E-9	Inflammatory skin disease	
BRCA	cis	1	rs10212259	chr3:123811210	CCDC14	chr3:123632276-123680255:-	0.18	3.46	0.000555	PR interval in Tripanosoma cruzi seropositivity	
BRCA	cis	1	rs10212259	chr3:123811210	SEC22A	chr3:122920774-122992980:+	0.29	3.74	0.000192	PR interval in Tripanosoma cruzi seropositivity	
BRCA	cis	1	rs10212259	chr3:123811210	UMPS	chr3:124449213-124464038:+	0.27	4	6.73E-5	PR interval in Tripanosoma cruzi seropositivity	
BRCA	cis	1	rs10214634	chr6:26564582	BTN2A3	chr6:26422317-26431927:+	0.16	5.37	9.72E-8	Educational attainment	
BRCA	cis	1	rs10214634	chr6:26564582	C6orf41	chr6:26924772-26991752:+	-0.13	-4.01	6.6E-5	Educational attainment	
BRCA	cis	1	rs10214634	chr6:26564582	ZNF322A	chr6:26634612-26659963:-	-0.1	-3.58	0.000364	Educational attainment	
BRCA	cis	1	rs10215453	chr7:77488678	PHTF2	chr7:77428109-77586818:+	-0.15	-4.46	9.16E-6	Glomerular filtration rate (creatinine);Glomerular filtration rate in non diabetics (creatinine)	
BRCA	cis	1	rs10218458	chr1:107571327	NTNG1	chr1:107682629-108024471:+	0.16	3.45	0.000573	AIDS	
BRCA	cis	1	rs10218458	chr1:107571327	PRMT6	chr1:107599267-107601907:+	0.23	4.72	2.72E-6	AIDS	
BRCA	cis	1	rs10220371	chr14:88501852	ZC3H14	chr14:89029253-89079852:+	0.19	4.24	2.4E-5	Multiple sclerosis	
BRCA	cis	1	rs10223664	chr6:98677699	C6orf167	chr6:97590038-97731061:-	0.14	3.4	0.000705	Quantitative traits	
BRCA	cis	1	rs10228845	chr7:21583617	DNAH11	chr7:21582833-21941455:+	-0.23	-6.57	7.9E-11	Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)	
BRCA	cis	1	rs10229224	chr7:21583921	DNAH11	chr7:21582833-21941455:+	-0.23	-6.44	1.82E-10	Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)	
BRCA	cis	1	rs10234018	chr7:66146284	CRCP	chr7:65579805-65619551:+	0.15	3.96	8.05E-5	Aortic root size	
BRCA	cis	1	rs10234018	chr7:66146284	LOC493754	chr7:65993446-66057363:-	0.15	3.94	8.62E-5	Aortic root size	
BRCA	cis	1	rs10235395	chr7:12286050	VWDE	chr7:12370509-12443852:-	-0.15	-4.04	5.8E-5	Response to amphetamines	
BRCA	cis	1	rs1023586	chr14:81462283	TSHR	chr14:81421869-81612646:+	-0.13	-3.86	0.00012	Graves' disease	
BRCA	cis	1	rs10236369	chr7:12280838	VWDE	chr7:12370509-12443852:-	-0.13	-3.67	0.000259	Response to amphetamines	
BRCA	cis	1	rs10239908	chr7:87497323	DBF4	chr7:87505544-87538856:+	0.13	3.47	0.000532	Bone mineral density (spine) and age at menarche	
BRCA	cis	1	rs10242018	chr7:110929652	IMMP2L	chr7:110303110-111202538:-	0.15	4.17	3.29E-5	Schizophrenia	
BRCA	cis	1	rs10242542	chr7:117522914	CTTNBP2	chr7:117350708-117513561:-	-0.13	-3.93	9.0E-5	Idiopathic osteonecrosis of the femoral head	
BRCA	cis	1	rs10243198	chr7:142822210	TMEM139	chr7:142982044-142985140:+	-0.2	-3.43	0.000631	Dermatomyositis	
BRCA	cis	1	rs10245031	chr7:117498461	CTTNBP2	chr7:117350708-117513561:-	-0.14	-4.09	4.62E-5	Idiopathic osteonecrosis of the femoral head	
BRCA	cis	1	rs10247443	chr7:50620586	FIGNL1	chr7:50511834-50518088:-	-0.13	-4.58	5.28E-6	Malaria	
BRCA	cis	1	rs10247526	chr7:65780696	CCT6P1	chr7:65216092-65228661:+	-0.31	-6.49	1.3E-10	Diabetic kidney disease	
BRCA	cis	1	rs10247526	chr7:65780696	CRCP	chr7:65579805-65619551:+	0.22	3.69	0.000238	Diabetic kidney disease	
