cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
PCPG	cis	1	rs1001530	chr5:176985515	HK3	chr5:176307871-176326333:-	-0.54	-4.29	3.16E-5	Alzheimer disease and age of onset	
PCPG	cis	1	rs10456078	chr6:35118075	UHRF1BP1	chr6:34759794-34853117:+	-0.32	-4.6	8.86E-6	Airway responsiveness in chronic obstructive pulmonary disease	
PCPG	cis	1	rs10456362	chr6:28221816	ZNF187	chr6:28234788-28245978:+	0.3	4.1	6.64E-5	Depression	
PCPG	cis	1	rs1046073	chr20:25281333	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs1046073	chr20:25281333	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs10461617	chr5:56104308	C5orf35	chr5:56205103-56213010:+	0.9	8.23	7.32E-14	Type 2 diabetes	
PCPG	cis	1	rs1046875	chr17:80685426	FN3KRP	chr17:80674582-80685889:+	0.51	5.15	7.79E-7	Glycated hemoglobin levels	
PCPG	cis	1	rs1046896	chr17:80685533	FN3KRP	chr17:80674582-80685889:+	0.51	5.14	8.22E-7	Glycated hemoglobin levels	
PCPG	cis	1	rs1046917	chr17:80685655	FN3KRP	chr17:80674582-80685889:+	0.51	5.15	7.79E-7	Glycated hemoglobin levels	
PCPG	cis	1	rs10470686	chr3:48449956	TREX1	chr3:48501186-48509043:+	-0.28	-4.17	5.06E-5	Longevity	
PCPG	cis	1	rs1047171	chr20:25428786	ENTPD6	chr20:25176339-25207360:+	-0.33	-4.07	7.45E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs1047171	chr20:25428786	FAM182A	chr20:26035250-26067552:+	-0.51	-6.2	4.85E-9	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs10496191	chr2:73673798	ALMS1P	chr2:73872046-73912692:+	0.59	5.83	3.16E-8	Metabolite levels	
PCPG	cis	1	rs10496193	chr2:73773503	ALMS1P	chr2:73872046-73912692:+	0.62	6.06	1.02E-8	Metabolite levels	
PCPG	cis	1	rs10498958	chr6:86649705	SNHG5	chr6:86386726-86388451:-	0.55	6.6	6.39E-10	Response to antipsychotic treatment	
PCPG	cis	1	rs10500303	chr19:50512033	SIGLEC16	chr19:50472912-50479075:+	0.78	5.08	1.09E-6	antipsychotic drug dosage in schizophrenia or schizoaffective disorder	
PCPG	cis	1	rs10510110	chr10:124192430	PLEKHA1	chr10:124134220-124191866:+	-0.34	-4.92	2.16E-6	Height	
PCPG	cis	1	rs1052501	chr3:41925398	ULK4	chr3:41288091-42003660:-	-0.79	-11.1	2.04E-21	Diastolic blood pressure	
PCPG	cis	1	rs10736426	chr1:45984353	CCDC163P	chr1:45960581-45965646:-	0.53	8.51	1.46E-14	Homocysteine levels	
PCPG	cis	1	rs10739388	chr9:115977175	CDC26	chr9:116029290-116037869:-	-0.49	-6.29	3.1E-9	Hematology traits	
PCPG	cis	1	rs10747783	chr12:58176614	FAM119B	chr12:58166383-58176323:+	0.56	5.39	2.65E-7	Multiple sclerosis	
PCPG	cis	1	rs10747783	chr12:58176614	TSFM	chr12:58176536-58191367:+	-0.59	-7.38	9.04E-12	Multiple sclerosis	
PCPG	cis	1	rs10749860	chr1:46328210	CCDC163P	chr1:45960581-45965646:-	-0.38	-5.45	1.97E-7	Body mass index	
PCPG	cis	1	rs10754323	chr1:89119492	CCBL2	chr1:89401456-89458643:-	0.49	6.38	2.01E-9	Height	
PCPG	cis	1	rs10759636	chr9:116018777	CDC26	chr9:116029290-116037869:-	-0.47	-6.19	5.3E-9	Hematology traits	
PCPG	cis	1	rs10760118	chr9:123641616	LOC253039	chr9:123605320-123616644:+	-0.52	-5.12	8.81E-7	Rheumatoid arthritis	
PCPG	cis	1	rs10760121	chr9:123647915	LOC253039	chr9:123605320-123616644:+	-0.56	-5.43	2.15E-7	Rheumatoid arthritis	
PCPG	cis	1	rs1077889	chr20:25267893	ENTPD6	chr20:25176339-25207360:+	-0.35	-4.39	2.13E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs1077889	chr20:25267893	FAM182A	chr20:26035250-26067552:+	-0.49	-5.94	1.86E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs10783847	chr12:58196447	FAM119B	chr12:58166383-58176323:+	0.57	5.45	1.97E-7	Multiple sclerosis	
PCPG	cis	1	rs10783847	chr12:58196447	TSFM	chr12:58176536-58191367:+	-0.6	-7.37	9.5E-12	Multiple sclerosis	
PCPG	cis	1	rs10783848	chr12:58196528	FAM119B	chr12:58166383-58176323:+	0.57	5.45	1.97E-7	Multiple sclerosis	
PCPG	cis	1	rs10783848	chr12:58196528	TSFM	chr12:58176536-58191367:+	-0.6	-7.37	9.5E-12	Multiple sclerosis	
PCPG	cis	1	rs10789475	chr1:46304177	CCDC163P	chr1:45960581-45965646:-	-0.36	-5.46	1.86E-7	Body mass index	
PCPG	cis	1	rs10789481	chr1:46383583	CCDC163P	chr1:45960581-45965646:-	-0.38	-5.4	2.45E-7	Body mass index	
PCPG	cis	1	rs10789487	chr1:46420221	CCDC163P	chr1:45960581-45965646:-	-0.4	-5.7	5.81E-8	Body mass index	
PCPG	cis	1	rs10804111	chr2:202145612	ALS2CR12	chr2:202153148-202222101:-	-0.42	-4.88	2.61E-6	Melanoma;Esophageal squamous cell carcinoma	
PCPG	cis	1	rs10804632	chr3:134294501	ANAPC13	chr3:134196547-134204865:-	0.36	4.86	2.81E-6	Height	
PCPG	cis	1	rs10818480	chr9:123643170	LOC253039	chr9:123605320-123616644:+	-0.56	-5.45	1.95E-7	Rheumatoid arthritis	
PCPG	cis	1	rs10829439	chr10:128782323	DOCK1	chr10:128594023-129250781:+	0.17	4.03	8.73E-5	Apolipoprotein Levels	
PCPG	cis	1	rs10849605	chr12:1064438	RAD52	chr12:1021255-1099219:-	-0.33	-5.15	8.03E-7	Lung cancer	
PCPG	cis	1	rs1085243	chr1:46544768	CCDC163P	chr1:45960581-45965646:-	-0.4	-5.76	4.52E-8	Body mass index	
PCPG	cis	1	rs1085244	chr1:46563680	CCDC163P	chr1:45960581-45965646:-	-0.4	-5.64	7.77E-8	Body mass index	
PCPG	cis	1	rs10853057	chr17:62998023	AMZ2P1	chr17:62962668-62971703:-	0.58	4.25	3.63E-5	White matter microstructure (global fractional anisotropy)	
PCPG	cis	1	rs10857712	chr10:135225666	MTG1	chr10:135207621-135234173:+	0.52	7.24	2.02E-11	Systemic lupus erythematosus	
PCPG	cis	1	rs10865914	chr3:41919499	ULK4	chr3:41288091-42003660:-	-0.77	-11	3.91E-21	Diastolic blood pressure	
PCPG	cis	1	rs10874656	chr1:92947024	EVI5	chr1:92974255-93257961:-	-0.28	-4.09	7.0E-5	Cholesterol, total	
PCPG	cis	1	rs10877012	chr12:58162085	FAM119B	chr12:58166383-58176323:+	0.48	4.53	1.19E-5	Multiple sclerosis	
PCPG	cis	1	rs10877012	chr12:58162085	TSFM	chr12:58176536-58191367:+	-0.59	-7.28	1.63E-11	Multiple sclerosis	
PCPG	cis	1	rs10877013	chr12:58165085	FAM119B	chr12:58166383-58176323:+	0.49	4.58	9.69E-6	Multiple sclerosis	
PCPG	cis	1	rs10877013	chr12:58165085	TSFM	chr12:58176536-58191367:+	-0.56	-6.84	1.78E-10	Multiple sclerosis	
PCPG	cis	1	rs10877014	chr12:58167661	FAM119B	chr12:58166383-58176323:+	0.5	4.83	3.23E-6	Multiple sclerosis	
PCPG	cis	1	rs10877014	chr12:58167661	TSFM	chr12:58176536-58191367:+	-0.55	-6.9	1.26E-10	Multiple sclerosis	
PCPG	cis	1	rs10877015	chr12:58167788	FAM119B	chr12:58166383-58176323:+	0.49	4.64	7.39E-6	Multiple sclerosis	
PCPG	cis	1	rs10877015	chr12:58167788	TSFM	chr12:58176536-58191367:+	-0.58	-7.21	2.36E-11	Multiple sclerosis	
PCPG	cis	1	rs10877019	chr12:58172929	FAM119B	chr12:58166383-58176323:+	-0.54	-5.23	5.39E-7	Multiple sclerosis	
PCPG	cis	1	rs10877019	chr12:58172929	TSFM	chr12:58176536-58191367:+	0.6	7.6	2.78E-12	Multiple sclerosis	
PCPG	cis	1	rs10887150	chr10:124180578	PLEKHA1	chr10:124134220-124191866:+	-0.31	-4.36	2.33E-5	Height	
PCPG	cis	1	rs10890352	chr1:46283628	CCDC163P	chr1:45960581-45965646:-	-0.38	-5.4	2.43E-7	Body mass index	
PCPG	cis	1	rs10890354	chr1:46305347	CCDC163P	chr1:45960581-45965646:-	-0.38	-5.49	1.61E-7	Body mass index	
PCPG	cis	1	rs10890361	chr1:46346234	CCDC163P	chr1:45960581-45965646:-	-0.36	-5.25	5.01E-7	Body mass index	
PCPG	cis	1	rs10890363	chr1:46356148	CCDC163P	chr1:45960581-45965646:-	0.4	6.05	1.06E-8	Body mass index	
PCPG	cis	1	rs10935120	chr3:134233092	ANAPC13	chr3:134196547-134204865:-	-0.36	-5.37	2.81E-7	Height	
PCPG	cis	1	rs10936601	chr3:169528449	LRRIQ4	chr3:169539710-169555558:+	-0.37	-4.08	7.22E-5	Multiple myeloma and monoclonal gammopathy;Interstitial lung disease	
PCPG	cis	1	rs10944161	chr6:86630376	SNHG5	chr6:86386726-86388451:-	-0.49	-6.23	4.28E-9	Response to antipsychotic treatment	
PCPG	cis	1	rs10944163	chr6:86658693	SNHG5	chr6:86386726-86388451:-	-0.52	-6.31	2.76E-9	Response to antipsychotic treatment	
PCPG	cis	1	rs10944169	chr6:86683036	SNHG5	chr6:86386726-86388451:-	-0.51	-6.53	8.9E-10	Response to antipsychotic treatment	
PCPG	cis	1	rs10944170	chr6:86685469	SNHG5	chr6:86386726-86388451:-	-0.48	-6.04	1.09E-8	Response to antipsychotic treatment	
PCPG	cis	1	rs10946403	chr6:20717404	CDKAL1	chr6:20534688-21232632:+	-0.39	-4.13	5.83E-5	Type 2 diabetes	
PCPG	cis	1	rs10947673	chr6:37445079	C6orf129	chr6:37450699-37467700:-	0.29	4.33	2.65E-5	Cognitive performance	
PCPG	cis	1	rs10950973	chr7:23917277	C7orf46	chr7:23719749-23742268:+	0.44	5.59	9.95E-8	Schizophrenia	
PCPG	cis	1	rs10950974	chr7:23917280	C7orf46	chr7:23719749-23742268:+	0.44	5.59	9.95E-8	Schizophrenia	
PCPG	cis	1	rs10950975	chr7:23917480	C7orf46	chr7:23719749-23742268:+	0.44	5.59	9.95E-8	Schizophrenia	
PCPG	cis	1	rs10966	chr20:25282944	ENTPD6	chr20:25176339-25207360:+	-0.32	-4.06	7.89E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs10966	chr20:25282944	FAM182A	chr20:26035250-26067552:+	-0.51	-6.35	2.33E-9	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs10988125	chr9:131572903	ENDOG	chr9:131580779-131584954:+	0.23	4.17	5.09E-5	Blood metabolite levels	
PCPG	cis	1	rs11049516	chr12:28452582	CCDC91	chr12:28332210-28703098:+	0.43	5.04	1.32E-6	Height	
PCPG	cis	1	rs11049532	chr12:28476912	CCDC91	chr12:28332210-28703098:+	0.41	4.81	3.49E-6	Height	
PCPG	cis	1	rs1106287	chr1:113242122	ST7L	chr1:113066142-113162405:-	0.47	4.4	1.98E-5	Diastolic blood pressure;Blood pressure	
PCPG	cis	1	rs11070798	chr15:50883263	SPPL2A	chr15:50999739-51057910:-	0.36	5.34	3.32E-7	QT interval	
PCPG	cis	1	rs11070800	chr15:50907347	SPPL2A	chr15:50999739-51057910:-	0.34	4.88	2.6E-6	QT interval	
PCPG	cis	1	rs11070805	chr15:50964192	SPPL2A	chr15:50999739-51057910:-	0.32	4.72	5.21E-6	QT interval	
PCPG	cis	1	rs11070807	chr15:50974505	SPPL2A	chr15:50999739-51057910:-	0.33	4.82	3.47E-6	QT interval	
PCPG	cis	1	rs11071846	chr15:65792839	DPP8	chr15:65737999-65810035:-	0.18	4.29	3.1E-5	Mean corpuscular hemoglobin	
PCPG	cis	1	rs11087520	chr20:25436827	ENTPD6	chr20:25176339-25207360:+	-0.33	-4.08	7.2E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs11087520	chr20:25436827	FAM182A	chr20:26035250-26067552:+	-0.48	-5.82	3.36E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs11087521	chr20:25440648	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.15	5.45E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs11087521	chr20:25440648	FAM182A	chr20:26035250-26067552:+	-0.51	-6.02	1.24E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs1110042	chr1:113236534	ST7L	chr1:113066142-113162405:-	0.46	4.28	3.28E-5	Diastolic blood pressure;Blood pressure	
PCPG	cis	1	rs11100	chr20:25281184	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs11100	chr20:25281184	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs1112137	chr1:247215375	ZNF670	chr1:247200087-247242069:-	-0.46	-6.03	1.16E-8	Response to taxane treatment (docetaxel)	
PCPG	cis	1	rs11125529	chr2:54475866	C2orf73	chr2:54558071-54588714:+	-0.57	-4.32	2.83E-5	Telomere length	
PCPG	cis	1	rs11127188	chr2:28972852	TRMT61B	chr2:29072690-29093175:-	-0.52	-5.32	3.62E-7	Body mass index	
PCPG	cis	1	rs11130170	chr3:48449897	TREX1	chr3:48501186-48509043:+	-0.28	-4.17	5.06E-5	Longevity	
PCPG	cis	1	rs111315781	chr2:201738724	PPIL3	chr2:201735680-201753999:-	-0.98	-8.97	9.59E-16	Triptolide cytotoxicity	
PCPG	cis	1	rs1114380	chr2:73804708	ALMS1P	chr2:73872046-73912692:+	0.61	5.88	2.48E-8	Metabolite levels	
PCPG	cis	1	rs11148252	chr13:53009048	CKAP2	chr13:53029495-53050763:+	-0.46	-7.13	3.57E-11	Lewy body disease	
PCPG	cis	1	rs11159067	chr14:74637444	LIN52	chr14:74551656-74667117:+	0.27	4.99	1.61E-6	Common traits (Other)	
PCPG	cis	1	rs11164654	chr1:92968312	EVI5	chr1:92974255-93257961:-	-0.3	-4.13	5.87E-5	Cholesterol, total;LDL cholesterol	
PCPG	cis	1	rs11172333	chr12:58170335	FAM119B	chr12:58166383-58176323:+	0.56	5.49	1.66E-7	Multiple sclerosis	
PCPG	cis	1	rs11172333	chr12:58170335	TSFM	chr12:58176536-58191367:+	-0.54	-6.55	8.32E-10	Multiple sclerosis	
PCPG	cis	1	rs11172335	chr12:58175201	FAM119B	chr12:58166383-58176323:+	0.56	5.26	4.78E-7	Multiple sclerosis	
PCPG	cis	1	rs11172335	chr12:58175201	TSFM	chr12:58176536-58191367:+	-0.62	-7.67	1.83E-12	Multiple sclerosis	
PCPG	cis	1	rs11172342	chr12:58187758	FAM119B	chr12:58166383-58176323:+	0.56	5.26	4.78E-7	Multiple sclerosis	
PCPG	cis	1	rs11172342	chr12:58187758	TSFM	chr12:58176536-58191367:+	-0.62	-7.67	1.83E-12	Multiple sclerosis	
PCPG	cis	1	rs11172343	chr12:58188157	FAM119B	chr12:58166383-58176323:+	0.56	5.26	4.78E-7	Multiple sclerosis	
PCPG	cis	1	rs11172343	chr12:58188157	TSFM	chr12:58176536-58191367:+	-0.62	-7.67	1.83E-12	Multiple sclerosis	
PCPG	cis	1	rs11172344	chr12:58193448	FAM119B	chr12:58166383-58176323:+	0.57	5.45	1.97E-7	Multiple sclerosis	
PCPG	cis	1	rs11172344	chr12:58193448	TSFM	chr12:58176536-58191367:+	-0.6	-7.37	9.5E-12	Multiple sclerosis	
PCPG	cis	1	rs11172349	chr12:58212528	FAM119B	chr12:58166383-58176323:+	0.56	5.39	2.57E-7	Multiple sclerosis	
PCPG	cis	1	rs11172349	chr12:58212528	TSFM	chr12:58176536-58191367:+	-0.59	-7.3	1.4E-11	Multiple sclerosis	
PCPG	cis	1	rs11172351	chr12:58213485	FAM119B	chr12:58166383-58176323:+	0.56	5.24	5.23E-7	Multiple sclerosis	
PCPG	cis	1	rs11172351	chr12:58213485	TSFM	chr12:58176536-58191367:+	-0.6	-7.28	1.63E-11	Multiple sclerosis	
PCPG	cis	1	rs11180559	chr12:75920285	GLIPR1L2	chr12:75784889-75825591:+	0.52	4.24	3.87E-5	Daytime sleep phenotypes	
PCPG	cis	1	rs111902838	chr19:50496614	SIGLEC16	chr19:50472912-50479075:+	0.77	5.08	1.07E-6	antipsychotic drug dosage in schizophrenia or schizoaffective disorder	
PCPG	cis	1	rs11191419	chr10:104612335	AS3MT	chr10:104613967-104661653:+	-0.37	-7.17	3.01E-11	Schizophrenia	
PCPG	cis	1	rs11191419	chr10:104612335	C10orf32	chr10:104613967-104624718:+	-0.45	-5.89	2.34E-8	Schizophrenia	
PCPG	cis	1	rs11200595	chr10:124142629	PLEKHA1	chr10:124134220-124191866:+	-0.31	-4.36	2.38E-5	Height	
PCPG	cis	1	rs11200606	chr10:124148765	PLEKHA1	chr10:124134220-124191866:+	-0.31	-4.38	2.16E-5	Height	
PCPG	cis	1	rs11200608	chr10:124157821	PLEKHA1	chr10:124134220-124191866:+	-0.32	-4.47	1.53E-5	Height	
PCPG	cis	1	rs11200609	chr10:124157858	PLEKHA1	chr10:124134220-124191866:+	-0.32	-4.47	1.53E-5	Height	
PCPG	cis	1	rs11200629	chr10:124198585	PLEKHA1	chr10:124134220-124191866:+	-0.31	-4.41	1.96E-5	Height	
PCPG	cis	1	rs11201297	chr10:81793749	LOC219347	chr10:81805991-81838949:-	1.01	8.38	3.14E-14	Chronic obstructive pulmonary disease-related biomarkers	
PCPG	cis	1	rs11201298	chr10:81793751	LOC219347	chr10:81805991-81838949:-	1.01	8.38	3.14E-14	Chronic obstructive pulmonary disease-related biomarkers	
PCPG	cis	1	rs11201312	chr10:81795778	LOC219347	chr10:81805991-81838949:-	1.06	9	7.98E-16	Chronic obstructive pulmonary disease-related biomarkers	
PCPG	cis	1	rs11201660	chr10:81854531	LOC219347	chr10:81805991-81838949:-	-0.79	-6.83	1.82E-10	Chronic obstructive pulmonary disease-related biomarkers	
PCPG	cis	1	rs11201799	chr10:81881954	LOC219347	chr10:81805991-81838949:-	-0.59	-5	1.55E-6	Chronic obstructive pulmonary disease-related biomarkers	
PCPG	cis	1	rs11211132	chr1:45990516	CCDC163P	chr1:45960581-45965646:-	-0.6	-9.63	1.84E-17	Homocysteine levels	
PCPG	cis	1	rs11211199	chr1:46287869	CCDC163P	chr1:45960581-45965646:-	-0.38	-5.53	1.34E-7	Body mass index	
PCPG	cis	1	rs11211208	chr1:46334256	CCDC163P	chr1:45960581-45965646:-	-0.38	-5.45	1.97E-7	Body mass index	
PCPG	cis	1	rs11211230	chr1:46406767	CCDC163P	chr1:45960581-45965646:-	-0.38	-5.55	1.23E-7	Body mass index	
